,id,response_mode,id,url,name,families,full_name,variant
100,163,list,27,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/27/,Atlas V 551,"[{'response_mode': 'list', 'id': 66, 'name': 'Atlas'}, {'response_mode': 'list', 'id': 174, 'name': 'Atlas V'}]",Atlas V 551,551
101,8712,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
102,8721,list,64,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/64/,Long March 4C,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 111, 'name': 'Long March 4'}]",Long March 4C,C
103,8725,list,478,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/478/,Long March 6A,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 113, 'name': 'Long March 6'}]",Long March 6A,A
104,8722,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
105,8729,list,17,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/17/,Long March 2D,"[{'response_mode': 'list', 'id': 106, 'name': 'Long March'}, {'response_mode': 'list', 'id': 109, 'name': 'Long March 2'}]",Long March 2D,D
106,8660,list,26,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/26/,Electron,[],Electron,
107,8726,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
108,8724,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
109,8733,list,164,https://lldev.thespacedevs.com/2.3.0/launcher_configurations/164/,Falcon 9,"[{'response_mode': 'list', 'id': 1, 'name': 'Falcon'}, {'response_mode': 'list', 'id': 176, 'name': 'Falcon 9'}]",Falcon 9 Block 5,Block 5
